id,disability_type,experience_years,education_level,accommodations,work_preference
0,mobility,20,master,['remote work'],hybrid
1,mobility,11,associate,['physical workspace modifications'],in-office
2,hearing,9,associate,['modified training materials'],in-office
3,psychiatric,6,phd,['noise reduction'],fully remote
4,mobility,20,phd,['remote work'],in-office
5,cognitive,15,associate,"['noise reduction', 'flexible schedule', 'modified training materials', 'assistive technology', 'physical workspace modifications']",hybrid
6,mobility,3,associate,['flexible schedule'],hybrid
7,cognitive,17,master,"['modified training materials', 'assistive technology', 'flexible schedule', 'noise reduction', 'physical workspace modifications']",fully remote
8,vision,20,phd,['remote work'],hybrid
9,psychiatric,7,master,"['noise reduction', 'physical workspace modifications']",hybrid
10,cognitive,6,associate,"['assistive technology', 'physical workspace modifications', 'flexible schedule']",fully remote
11,psychiatric,5,bachelor,"['noise reduction', 'flexible schedule']",hybrid
12,chronic health,5,phd,['noise reduction'],in-office
13,mobility,5,phd,"['physical workspace modifications', 'remote work']",fully remote
14,chronic health,1,master,"['physical workspace modifications', 'remote work']",in-office
15,vision,15,high school,"['remote work', 'flexible schedule']",hybrid
16,mobility,12,associate,['remote work'],hybrid
17,chronic health,14,phd,"['flexible schedule', 'remote work']",hybrid
18,cognitive,11,high school,"['flexible schedule', 'noise reduction', 'assistive technology']",hybrid
19,vision,7,associate,['flexible schedule'],in-office
20,mobility,2,master,['flexible schedule'],hybrid
21,cognitive,3,bachelor,"['physical workspace modifications', 'assistive technology', 'flexible schedule', 'modified training materials']",in-office
22,mobility,4,associate,['remote work'],in-office
23,vision,11,phd,['physical workspace modifications'],hybrid
24,psychiatric,6,phd,['flexible schedule'],hybrid
25,cognitive,5,associate,"['modified training materials', 'physical workspace modifications', 'assistive technology', 'flexible schedule']",hybrid
26,mobility,8,bachelor,"['remote work', 'physical workspace modifications']",hybrid
27,cognitive,19,phd,"['flexible schedule', 'physical workspace modifications']",hybrid
28,mobility,14,phd,['physical workspace modifications'],fully remote
29,vision,11,phd,"['physical workspace modifications', 'remote work']",in-office
30,psychiatric,12,associate,"['physical workspace modifications', 'flexible schedule']",hybrid
31,vision,2,associate,['physical workspace modifications'],hybrid
32,cognitive,13,high school,"['noise reduction', 'flexible schedule', 'modified training materials', 'assistive technology', 'physical workspace modifications']",in-office
33,cognitive,6,master,"['physical workspace modifications', 'flexible schedule', 'assistive technology', 'noise reduction', 'modified training materials']",hybrid
34,mobility,19,high school,"['remote work', 'physical workspace modifications']",in-office
35,psychiatric,0,associate,"['flexible schedule', 'noise reduction']",fully remote
36,cognitive,14,high school,"['physical workspace modifications', 'flexible schedule', 'assistive technology', 'modified training materials', 'noise reduction']",in-office
37,mobility,20,associate,['physical workspace modifications'],fully remote
38,psychiatric,11,master,['flexible schedule'],in-office
39,mobility,13,bachelor,['remote work'],fully remote
40,vision,5,high school,"['physical workspace modifications', 'remote work']",in-office
41,vision,17,associate,['remote work'],in-office
42,chronic health,16,master,"['noise reduction', 'remote work', 'flexible schedule']",hybrid
43,hearing,11,bachelor,"['assistive technology', 'interpreter services', 'physical workspace modifications', 'modified training materials']",in-office
44,cognitive,4,phd,"['flexible schedule', 'physical workspace modifications', 'assistive technology']",in-office
45,mobility,9,phd,"['physical workspace modifications', 'remote work']",in-office
46,mobility,1,phd,['flexible schedule'],hybrid
47,cognitive,14,high school,"['noise reduction', 'assistive technology', 'physical workspace modifications', 'modified training materials']",in-office
48,hearing,8,bachelor,['noise reduction'],hybrid
49,vision,18,high school,['remote work'],hybrid
50,mobility,6,bachelor,"['flexible schedule', 'remote work']",in-office
51,mobility,12,high school,"['remote work', 'physical workspace modifications']",hybrid
52,hearing,12,master,['assistive technology'],fully remote
53,cognitive,11,master,"['modified training materials', 'physical workspace modifications', 'flexible schedule', 'assistive technology', 'noise reduction']",fully remote
54,hearing,7,high school,"['noise reduction', 'interpreter services']",hybrid
55,chronic health,10,master,['remote work'],hybrid
56,mobility,2,associate,"['remote work', 'physical workspace modifications']",fully remote
57,mobility,16,high school,"['remote work', 'flexible schedule']",hybrid
58,mobility,9,high school,"['flexible schedule', 'physical workspace modifications']",hybrid
59,psychiatric,11,bachelor,"['flexible schedule', 'noise reduction']",in-office
60,cognitive,13,associate,"['assistive technology', 'noise reduction']",in-office
61,mobility,3,bachelor,"['physical workspace modifications', 'flexible schedule']",hybrid
62,mobility,11,master,['remote work'],in-office
63,cognitive,1,high school,"['modified training materials', 'noise reduction']",hybrid
64,psychiatric,16,high school,"['flexible schedule', 'noise reduction']",fully remote
65,vision,14,master,"['remote work', 'flexible schedule']",in-office
66,cognitive,4,associate,"['assistive technology', 'noise reduction', 'modified training materials', 'physical workspace modifications', 'flexible schedule']",in-office
67,cognitive,1,master,"['physical workspace modifications', 'modified training materials', 'noise reduction', 'flexible schedule', 'assistive technology']",fully remote
68,psychiatric,4,high school,"['noise reduction', 'physical workspace modifications']",hybrid
69,psychiatric,15,phd,['noise reduction'],hybrid
70,vision,17,associate,['flexible schedule'],in-office
71,mobility,2,phd,"['flexible schedule', 'remote work']",hybrid
72,psychiatric,1,bachelor,['noise reduction'],hybrid
73,cognitive,10,master,"['physical workspace modifications', 'noise reduction', 'flexible schedule', 'assistive technology', 'modified training materials']",fully remote
74,mobility,19,high school,['physical workspace modifications'],hybrid
75,vision,1,bachelor,['physical workspace modifications'],hybrid
76,psychiatric,11,master,"['physical workspace modifications', 'noise reduction']",in-office
77,cognitive,1,master,"['noise reduction', 'physical workspace modifications', 'modified training materials']",hybrid
78,hearing,11,high school,['physical workspace modifications'],in-office
79,psychiatric,20,master,['flexible schedule'],hybrid
80,mobility,14,bachelor,['flexible schedule'],hybrid
81,cognitive,17,bachelor,"['physical workspace modifications', 'assistive technology', 'flexible schedule', 'noise reduction']",in-office
82,mobility,14,associate,"['remote work', 'physical workspace modifications']",hybrid
83,cognitive,13,associate,"['flexible schedule', 'assistive technology', 'modified training materials', 'physical workspace modifications']",in-office
84,psychiatric,6,master,['noise reduction'],hybrid
85,hearing,7,master,['interpreter services'],fully remote
86,mobility,6,bachelor,['flexible schedule'],hybrid
87,hearing,5,bachelor,['noise reduction'],in-office
88,hearing,20,associate,['modified training materials'],in-office
89,cognitive,12,phd,"['physical workspace modifications', 'noise reduction']",in-office
90,mobility,15,associate,['flexible schedule'],in-office
91,mobility,0,high school,['flexible schedule'],fully remote
92,vision,12,bachelor,"['flexible schedule', 'remote work']",hybrid
93,hearing,2,bachelor,"['modified training materials', 'physical workspace modifications', 'interpreter services']",in-office
94,mobility,2,master,"['remote work', 'flexible schedule']",fully remote
95,mobility,10,master,"['physical workspace modifications', 'flexible schedule']",fully remote
96,hearing,0,bachelor,['interpreter services'],in-office
97,chronic health,17,associate,['flexible schedule'],in-office
98,hearing,20,bachelor,['assistive technology'],hybrid
99,chronic health,11,bachelor,"['remote work', 'physical workspace modifications', 'flexible schedule']",hybrid
100,vision,1,master,"['flexible schedule', 'remote work']",fully remote
101,mobility,19,phd,"['physical workspace modifications', 'flexible schedule']",hybrid
102,mobility,18,bachelor,"['remote work', 'physical workspace modifications']",hybrid
103,hearing,7,high school,"['interpreter services', 'modified training materials', 'physical workspace modifications', 'assistive technology']",hybrid
104,hearing,4,phd,"['assistive technology', 'interpreter services', 'noise reduction']",hybrid
105,mobility,20,master,['remote work'],fully remote
