id,company_size,industry,location,remote_policy,available_accommodations
0,medium,manufacturing,Rasmussenshire,hybrid,"['flexible schedule', 'assistive technology', 'modified training materials', 'remote work', 'interpreter services', 'physical workspace modifications']"
1,small,retail,North Lance,remote-friendly,"['noise reduction', 'physical workspace modifications', 'assistive technology', 'flexible schedule', 'remote work']"
2,large,healthcare,East Kelly,in-office,"['remote work', 'assistive technology']"
3,small,retail,North Ricardoburgh,hybrid,"['physical workspace modifications', 'remote work', 'noise reduction', 'assistive technology', 'modified training materials', 'interpreter services']"
4,medium,tech,Lake Kennethbury,hybrid,"['assistive technology', 'physical workspace modifications', 'interpreter services', 'noise reduction', 'modified training materials', 'remote work']"
5,medium,healthcare,Samuelville,remote-friendly,"['noise reduction', 'modified training materials', 'assistive technology', 'remote work', 'interpreter services', 'physical workspace modifications']"
6,medium,manufacturing,Davisfurt,hybrid,"['assistive technology', 'physical workspace modifications', 'flexible schedule', 'interpreter services', 'noise reduction', 'remote work']"
7,medium,healthcare,Chambersstad,remote-friendly,"['noise reduction', 'flexible schedule', 'remote work', 'interpreter services']"
8,small,finance,Lake Tinabury,hybrid,"['flexible schedule', 'modified training materials', 'physical workspace modifications', 'assistive technology', 'interpreter services', 'remote work']"
9,small,healthcare,Pachecoville,remote-friendly,"['modified training materials', 'assistive technology', 'interpreter services', 'noise reduction', 'flexible schedule', 'remote work']"
10,small,finance,New Robert,in-office,"['noise reduction', 'assistive technology', 'flexible schedule']"
11,small,healthcare,Ramirezmouth,in-office,"['interpreter services', 'physical workspace modifications']"
12,small,manufacturing,West Angelaside,in-office,"['assistive technology', 'physical workspace modifications', 'flexible schedule', 'modified training materials']"
13,large,retail,East Erin,hybrid,"['assistive technology', 'modified training materials', 'remote work']"
14,large,retail,South Steve,hybrid,"['physical workspace modifications', 'modified training materials', 'interpreter services', 'remote work', 'flexible schedule']"
15,small,finance,Port Melanie,remote-friendly,"['physical workspace modifications', 'modified training materials', 'flexible schedule', 'interpreter services', 'noise reduction', 'remote work']"
16,medium,retail,Wheelerborough,remote-friendly,"['assistive technology', 'physical workspace modifications', 'remote work']"
17,large,healthcare,Aaronland,remote-friendly,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'interpreter services', 'remote work']"
18,medium,retail,Jessicachester,hybrid,"['modified training materials', 'flexible schedule', 'noise reduction', 'remote work']"
